CONTRACT_ID,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H8385 ,Sanford Health Plan ,SANFORD HEALTH PLAN ,Sanford Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8390 ,CareSource ,CARESOURCE GEORGIA CO. ,CareSource ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8432 ,Empire BlueCross BlueShield ,"EMPIRE HEALTHCHOICE HMO, INC. ","Elevance Health, Inc. ",21%,26%,36%,Not Available ,18%
H8457 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF NEW YORK, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8458 ,Wellcare by Allwell ,"SILVERSUMMIT HEALTHPLAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8492 ,Dignity Health Plan ,DIGNITY CARE CORPORATION ,CommCare Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8547 ,Blue Cross and Blue Shield of Illinois ,ILLINOIS BLUE CROSS BLUE SHIELD INSURANCE COMPANY ,Health Care Service Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8552 ,Anthem Blue Cross Life and Health Insurance Co. ,ANTHEM BLUE CROSS LIFE AND HEALTH INS COMPANY ,"Elevance Health, Inc. ",27%,36%,26%,Not Available ,23%
H8553 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF THE SOUTHWEST, INC. ",Centene Corporation ,28%,33%,19%,Not Available ,26%
H8554 ,"Blue Cross and Blue Shield of OK, TX ",GHS INSURANCE COMPANY ,Health Care Service Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8578 ,Health New England Medicare Advantage Plans ,"HEALTH NEW ENGLAND, INC. ","Baystate Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8597 ,Aetna Medicare ,AETNA BETTER HEALTH OF TEXAS INC. ,CVS Health Corporation ,29%,40%,22%,Not Available ,21%
H8604 ,The Health Plan ,THP INSURANCE COMPANY ,"The Health Plan of West Virginia, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8634 ,"Blue Cross and Blue Shield of IL, NM ",HEALTH CARE SERVICE CORPORATION ,Health Care Service Corporation ,13%,12%,37%,Not Available ,13%
H8649 ,Aetna Medicare ,AETNA HEALTH OF UTAH INC ,CVS Health Corporation ,16%,21%,22%,Not Available ,13%
H8711 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF NEW JERSEY ,Centene Corporation ,24%,48%,25%,Not Available ,25%
H8748 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,33%,21%,Not Available ,12%
H8764 ,Aspire Health ,ASPIRE HEALTH PLAN ,Montage Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8768 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE CO. OF THE RIVER VALLEY ,"UnitedHealth Group, Inc. ",10%,20%,25%,Not Available ,13%
H8783 ,UCare ,"UCARE HEALTH, INC. ",UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8797 ,Perennial Advantage ,"PERENNIAL ADVANTAGE OF OHIO, INC. ","Perennial Consortium, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8845 ,Molina Healthcare of Arizona ,"MOLINA HEALTHCARE OF ARIZONA, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8849 ,Amerigroup ,AMERIGROUP INSURANCE COMPANY ,"Elevance Health, Inc. ",14%,38%,10%,Not Available ,Not Available
H8854 ,CareFirst BlueCross BlueShield Medicare Advantage ,"CareFirst Advantage DSNP, Inc. ","CareFirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8889 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,14%,5%,32%,Not Available ,12%
H8894 ,IEHP DualChoice ,Inland Empire Health Plan ,INLAND EMPIRE HEALTH PLAN ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8902 ,SCAN Health Plan ,"SCAN HEALTH PLAN TEXAS, INC. ",SCAN Group ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8908 ,Humana ,"HUMANA MEDICAL PLAN OF MICHIGAN, INC. ",Humana Inc. ,18%,28%,19%,Not Available ,13%
H8928 ,Fallon Health ,FALLON COMMUNITY HEALTH PLAN ,"Fallon Community Health Plan, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H8961 ,Oscar ,"OSCAR MANAGED CARE OF SOUTH FLORIDA, INC ","Oscar Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8967 ,Great Plains Medicare Advantage ,"GOOD SAMARITAN INSURANCE PLAN OF NORTH DAKOTA, LLC ",Sanford Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H8998 ,Trinity Health Plan Of New England ,MOUNT CARMEL HEALTH PLAN OF CONNECTICUT INC ,Trinity Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9001 ,Fallon Health ,FALLON COMMUNITY HEALTH PLAN ,"Fallon Community Health Plan, Inc. ",21%,28%,31%,11%,10%
H9003 ,Kaiser Permanente ,KAISER FOUNDATION HP OF THE N W ,"Kaiser Foundation Health Plan, Inc. ",21%,20%,18%,4%,14%
H9042 ,MyTruAdvantage ,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC. ","SIHO Holding, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9047 ,Providence Medicare Advantage Plans ,PROVIDENCE HEALTH ASSURANCE ,Providence Health & Services ,15%,22%,21%,7%,8%
H9065 ,AMH Health ,"AMH HEALTH, LLC ","Elevance Health, Inc. ",18%,17%,22%,Not Available ,11%
H9066 ,Nascentia Health Plus ,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK ,VISITING NURSE ASSOCIATION OF CENTRAL NEW YORK ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9070 ,Humana ,COMPBENEFITS INSURANCE COMPANY ,Humana Inc. ,17%,19%,25%,Not Available ,16%
H9082 ,"Molina Healthcare of New Mexico, Inc. ","MOLINA HEALTHCARE OF NEW MEXICO, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9096 ,"Dean Advantage, Prevea360 Medicare Advantage ","DEAN HEALTH PLAN, INC. ",Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9104 ,SCAN Health Plan ,SCAN HEALTH PLAN ,SCAN Group ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9147 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NC SENIOR HEALTH ,Blue Cross and Blue Shield of North Carolina ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9153 ,West Virginia Senior Advantage ,"WEST VIRGINIA SENIOR ADVANTAGE, INC. ","Stonerise Senior Advantage Holdings, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9191 ,Provider Partners Health Plans ,"PROVIDER PARTNERS HEALTH PLAN OF MISSOURI, INC. ","Rifkin Managed Care Holding, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9207 ,Health Partners Medicare ,"HEALTH PARTNERS PLANS, INC. ",Thomas Jefferson University ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9219 ,AMH Health ,"AMH HEALTH PLANS OF MAINE, INC. ","Elevance Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9231 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF TENNESSEE INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9258 ,Wellcare ,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9276 ,Allwell ,"SUNSHINE HEALTH COMMUNITY SOLUTIONS, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9302 ,Premera Blue Cross Medicare Advantage ,PREMERA BLUE CROSS ,Premera ,13%,11%,24%,8%,9%
H9306 ,Alterwood Advantage ,"ALTERWOOD ADVANTAGE, INC. ","Alterwood Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9335 ,Wellcare ,"WELLCARE HEALTH PLANS OF MISSOURI, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9357 ,Ascension Complete ,CENTENE VENTURE INSURANCE COMPANY TEXAS ,Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9364 ,Wellcare ,"WELLCARE OF MAINE, INC. ",Centene Corporation ,24%,20%,12%,Not Available ,18%
H9387 ,Wellcare by Allwell ,"SUNFLOWER STATE HEALTH PLAN, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9403 ,Clear Spring Health ,"CLEAR SPRING HEALTH (SC), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9412 ,Geisinger Gold ,"GEISINGER QUALITY OPTIONS, INC. ",Geisinger Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9414 ,Commonwealth Care Alliance Massachusetts ,"Commonwealth Care Alliance Massachusetts, LLC. ","Commonwealth Care Alliance, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9428 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF TENNESSEE, INC. ",Centene Corporation ,34%,38%,25%,Not Available ,24%
H9431 ,Aetna Medicare ,FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY ,CVS Health Corporation ,26%,24%,24%,17%,18%
H9455 ,Health Choice Generations Utah ,"HEALTH CHOICE UTAH, INC. ",University of Utah ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9460 ,Cigna ,"CIGNA HEALTHCARE OF ST LOUIS, INC. ",CIGNA ,15%,21%,20%,10%,13%
H9469 ,Simply Healthcare ,UNICARE LIFE AND HEALTH INSURANCE COMPANY ,"Elevance Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9485 ,Mass General Brigham Health Plan ,ALLWAYS HEALTH PARTNERS INC ,Mass General Brigham Incorporated ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9489 ,Vermont Blue Advantage ,"VERMONT BLUE ADVANTAGE, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9525 ,Anthem Blue Cross and Blue Shield ,COMPCARE HEALTH SERVICES INSURANCE CORPORATION ,"Elevance Health, Inc. ",13%,14%,17%,Not Available ,12%
H9572 ,Blue Cross Blue Shield of Michigan ,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,11%,8%,34%,Not Available ,7%
H9585 ,WellSense Health Plan ,"BOSTON MEDICAL CENTER HEALTH PLAN, INC. ","BMC Health System, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9589 ,Clear Spring Health ,"CLEAR SPRING HEALTH (GA), INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9590 ,Longevity Health ,"LONGEVITY HEALTH PLAN OF ILLINOIS, INC. ","Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9614 ,Alignment Health Plan ,"ALIGNMENT HEALTH INSURANCE COMPANY OF ARIZONA, INC ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9615 ,MVP HEALTH CARE ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",14%,13%,28%,10%,8%
H9630 ,Wellcare by Allwell ,"ARKANSAS HEALTH AND WELLNESS HEALTH PLAN, INC ",Centene Corporation ,16%,24%,19%,Not Available ,8%
H9662 ,Cigna ,"CIGNA HEALTHCARE OF CALIFORNIA, INC. ",CIGNA ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9678 ,Healthfirst Medicare Plan ,"HEALTHFIRST INSURANCE COMPANY, INC. ","Healthfirst, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9686 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NEVADA, INC. ","Alignment Healthcare USA, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9699 ,Health Advantage ,"HMO PARTNERS, INC. ","HMO Partners, Inc. ",5%,7%,11%,6%,7%
H9706 ,Blue Cross and Blue Shield of Texas ,HCSC INSURANCE SERVICES COMPANY ,Health Care Service Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9725 ,Cigna ,"CIGNA HEALTHCARE OF NORTH CAROLINA, INC. ",CIGNA ,15%,21%,25%,Not Available ,18%
H9730 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",Centene Corporation ,28%,19%,22%,Not Available ,24%
H9761 ,Wellcare ,"WELLCARE HEALTH PLANS OF MASSACHUSETTS, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9763 ,Ochsner Health Plan ,"OCHSNER HEALTH PLAN, INC. ",Ochsner Clinic Foundation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9808 ,CARE N'' CARE INSURANCE COMPANY OF NORTH CAROLINA ,CARE N' CARE INSURANCE COMPANY OF NORTH CAROLINA ,Moses H. Cone Memorial Hospital Corp. ,8%,14%,21%,7%,8%
H9811 ,Wellcare by Allwell ,"MAGNOLIA HEALTH PLAN, INC. ",Centene Corporation ,20%,45%,12%,Not Available ,15%
H9826 ,Community Health Choice ,"COMMUNITY HEALTH CHOICE TEXAS, INC. ",Harris County Hospital District ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9827 ,MediGold ,"MOUNT CARMEL HEALTH PLAN OF NEW YORK, INC. ",Trinity Health Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9828 ,ApexHealth ,"APEX HEALTH, INC. ","J.B. Cotton & Company, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9834 ,Quartz Medicare Advantage ,QUARTZ HEALTH PLAN MN CORPORATION ,University of Wisconsin Hospitals and Clincs Autho ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9861 ,CCA Health Michigan ,"CCA HEALTH MICHIGAN, INC. ","Commonwealth Care Alliance, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9876 ,CCA Health Rhode Island ,"Commonwealth Care Alliance Rhode Island, LLC ","Commonwealth Care Alliance, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9877 ,Virginia Premier ,"VIRGINIA PREMIER HEALTH PLAN, INC. ",Sentara Health Care (SHC) ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9884 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9888 ,Devoted Health ,DEVOTED HEALTH INSURANCE COMPANY OF ALABAMA INC ,"Devoted Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9900 ,Wellcare ,"WELLCARE OF OKLAHOMA, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9904 ,Mass Advantage ,"CENTRAL MASS HEALTH, LLC ",Central Mass Health Holding LLC ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9907 ,Tufts Health Plan ,TUFTS ASSOCIATED HEALTH MAINTENANCE ORGANIZATION ,"Point32Health, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9909 ,American Health Advantage of MS ,"AMERICAN HEALTH PLAN OF MS, INC. ",Mitchell Family Office ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9917 ,Align Senior Care ,"ALIGN SENIOR CARE FLORIDA, INC. ","Innovative Long Term Care Management, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9940 ,Longevity Health Plan of Massachusetts ,LONGEVITY HEALTH PLAN OF MASSACHUSETTS INC ,"Longevity Health Founders, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9942 ,Longevity Health Plan ,LONGEVITY HEALTH PLAN OF NEW JERSEY INSURANCE COMP ,"Longevity Health Founders, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9943 ,Alignment Health Plan ,ALIGNMENT HEALTH PLAN OF FLORIDA INC ,"Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9952 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9955 ,Molina Healthcare of Ohio ,"MOLINA HEALTHCARE OF OHIO, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H9976 ,Wellcare by Allwell ,"WESTERN SKY COMMUNITY CARE, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H9986 ,Florida Complete Care ,"HPMP OF FLORIDA, INC. ","Independent Living Systems, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
R0110 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,13%,20%,40%,9%,7%
R0759 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",9%,7%,19%,7%,9%
R0865 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,12%,8%,37%,Not Available ,9%
R0923 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,11%,11%,28%,Not Available ,8%
R1390 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,11%,11%,32%,6%,6%
R1532 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,20%,22%,31%,Not Available ,15%
R2604 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",11%,19%,29%,Not Available ,8%
R3175 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R3332 ,Florida Blue ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Guidewell Mutual Holding Corporation ,8%,8%,43%,8%,7%
R3392 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,11%,43%,Not Available ,5%
R3444 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",11%,7%,32%,7%,8%
R3887 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,10%,6%,28%,5%,5%
R4182 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,13%,17%,35%,Not Available ,11%
R4487 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",7%,5%,37%,6%,9%
R4845 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,18%,29%,27%,Not Available ,13%
R5329 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R5342 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",13%,21%,29%,Not Available ,11%
R5361 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,12%,11%,26%,Not Available ,12%
R5495 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,7%,28%,4%,8%
R5826 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,7%,14%,32%,7%,8%
R5941 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ","Elevance Health, Inc. ",10%,7%,43%,9%,8%
R6694 ,Aetna Medicare ,AETNA LIFE INSURANCE COMPANY ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
R6801 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",15%,14%,29%,9%,8%
R7220 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,13%,8%,30%,Not Available ,11%
R7315 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,9%,7%,23%,Not Available ,6%
R7444 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",8%,9%,33%,7%,8%
S0156 ,NextBlue of North Dakota ,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S0586 ,MVP Health Care ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S0655 ,Tufts Health Plan ,TUFTS INSURANCE COMPANY ,"Point32Health, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S1030 ,BlueRx (PDP) ,BCBS OF ALABAMA & UTIC INSURANCE COMPANY ,BlueCross BlueShield of Alabama ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S1140 ,Highmark BCBS of WNY and Highmark BS of NENY ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S1822 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2465 ,Optima Medicare ,OPTIMA HEALTH PLAN ,Sentara Health Care (SHC) ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2468 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2668 ,Farm Bureau Health Plans ,MEMBERS HEALTH INSURANCE COMPANY ,Tennessee Rural Health Improvement Association ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2874 ,Humana ,"HUMANA INSURANCE OF PUERTO RICO, INC. ",Humana Inc. ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S2893 ,Blue MedicareRx ,ANTHEM INSURANCE CO. & BCBSMA & BCBSRI & BCBSVT ,"Elevance Health, Inc. & BCBSMA & BCBSRI & BCBSVT ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3147 ,Banner Medicare Rx ,BANNER HEALTH INSURANCE GROUP ,Banner Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
S3285 ,MG Insurance Company ,MG INSURANCE COMPANY ,"MedImpact Holdings, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3375 ,"BlueCross BlueShield: Empire, Excellus, WNY & NENY ","EMPIRE HEALTHCHOICE ASSURANCE, INC. ","Elevance Health, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3389 ,UPMC Health Plan ,"UPMC HEALTH BENEFITS, INC. ",UPMC Health System ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3521 ,"Excellus Health Plan, Inc ","EXCELLUS HEALTH PLAN, INC. ","Lifetime Healthcare, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3875 ,Granite Alliance ,GRANITE ALLIANCE INSURANCE COMPANY ,Centene Corporation ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S3994 ,HMSAs Medicare Rx Plan ,HAWAII MEDICAL SERVICE ASSOCIATION (HMSA) ,Hawaii Medical Service Association ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4219 ,Health Alliance Medicare Prescription Plan ,HEALTH ALLIANCE MEDICAL PLANS ,The Carle Foundation ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4501 ,Pharmacy Benefit Dimensions PDP ,INDEPENDENT HEALTH BENEFITS CORPORATION ,"Independent Health Association, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S4802 ,Wellcare ,"WELLCARE PRESCRIPTION INSURANCE, INC. ",Centene Corporation ,Not Applicable ,Not Applicable ,32%,6%,7%
S5450 ,BlueScripts ,"SECURITYCARE OF TENNESSEE, INC. ",BlueCross BlueShield of Tennessee ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5540 ,Blue Cross and Blue Shield of North Carolina ,BLUE CROSS AND BLUE SHIELD OF NORTH CAROLINA ,Blue Cross and Blue Shield of North Carolina ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5552 ,Humana ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana Inc. ,Not Applicable ,Not Applicable ,40%,8%,5%
S5584 ,Blue Cross Blue Shield of Michigan ,BCBS OF MICHIGAN MUTUAL INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5588 ,Paramount Prescription Drug Plan ,PARAMOUNT INSURANCE COMPANY ,"Promedica Health System, Inc. ",Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
S5593 ,Highmark Inc. ,HM HEALTH INSURANCE COMPANY ,Highmark Health ,Not Applicable ,Not Applicable ,Not Available ,Not Available ,Not Available
